Product,Regular price,Sale price,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Energy (kcal),Carbohydrates,Sugars,Added sugars,Fats,Saturated fats,Unsaturated fats,Protein,Fiber,Salt
AH Bakplaat klein,6.99,NA,"Koken, tafelen, vrije tijd",Koken,Bakvormen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Cakevorm 25cm,5.49,NA,"Koken, tafelen, vrije tijd",Koken,Bakvormen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Springvorm 16cm,6.49,NA,"Koken, tafelen, vrije tijd",Koken,Bakvormen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Springvorm 18cm,6.99,NA,"Koken, tafelen, vrije tijd",Koken,Bakvormen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Springvorm 26cm,7.99,NA,"Koken, tafelen, vrije tijd",Koken,Bakvormen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Biologisch Mini crackers naturel,1.99,NA,Bakkerij,Crackers,Toast-crackers,NA,NA,NA,439,68,1.6,NA,13,2.1,8.7,11,3.1,1
Haust Toast olijfolie zeezout,2.29,NA,Bakkerij,Crackers,Toast-crackers,NA,NA,NA,468,65,8.5,NA,18,11,NA,10,NA,1.55
Haust Toast rozemarijn tijm,2.29,NA,Bakkerij,Crackers,Toast-crackers,NA,NA,NA,467,65,8.5,NA,18,12,NA,10,NA,1.55
Melkunie Breaker vanille,1.49,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),Yoghurt tussendoortjes,NA,NA,NA,89,12,10,NA,3.1,2,NA,3.2,NA,0.1
Calex Smart globe A60 goud straight,9.99,NA,"Koken, tafelen, vrije tijd","Wonen, slapen",Lampen,Ledlampen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Varta Hearing aid batteries 13,4.29,NA,"Koken, tafelen, vrije tijd",Kantoorartikelen,Batterij,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beemster Signature aged,4.89,NA,"Kaas, vleeswaren, tapas",Kaas,Kaas voor borrel,"Rode korst kaas, port salut",NA,NA,404,0,0,NA,33.2,23.9,NA,26.3,NA,1.9
Beemster Signature extra aged,4.89,NA,"Kaas, vleeswaren, tapas",Kaas,Kaas voor borrel,"Rode korst kaas, port salut",NA,NA,426,0,0,NA,35,25.2,NA,27.7,NA,2
Affligem Giftpack met glas,9.99,NA,Bier en aperitieven,Bier,Bierpakketten,NA,NA,NA,56,4.3,0,NA,0,0,NA,0.5,NA,0
illy Ready to drink latte macchiato,2.59,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),IJskoffie,NA,NA,NA,44,6.2,5.4,NA,1.3,0.8,NA,1.6,NA,0.05
illy Ready to drink cappuccino,2.59,NA,"Zuivel, eieren, boter",Zuivel tussendoortjes (voor thuis en onderweg),IJskoffie,NA,NA,NA,36,6,5.2,NA,0.6,0.4,NA,1.6,NA,0.04
Hak Mexicanez wraps maaltijdpakket,8.26,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Bonen, peulvruchten (conserven)",Bonenschotel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Terra Plantaardige rasp lekker voor pizza,1.99,NA,"Vegetarisch, vegan en plantaardig",Plantaardige kaas,Plantaardige kaas voor maaltijden,NA,NA,NA,282,18,0.06,NA,23,14,7.2,0,0.9,0.88
AH Terra Plantaardige rasp mild,1.69,NA,"Vegetarisch, vegan en plantaardig",Plantaardige kaas,Plantaardige kaas voor maaltijden,NA,NA,NA,276,18,0.3,NA,22,19,2.7,0.3,2.6,2.05
AH Terra Plantaardige cashew spread jalapeno,2.79,NA,"Vegetarisch, vegan en plantaardig",Plantaardige spreads,NA,NA,NA,NA,302,13,3.8,NA,23,3.9,18,9.7,1.9,1.5
