Product,Regular price,Sale price,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Energy (kcal),Carbohydrates,Sugars,Added sugars,Fats,Saturated fats,Unsaturated fats,Protein,Fiber,Salt
AH Franse baguettes,0.75,NA,Bakkerij,Afbakbrood,Stokbrood en ciabatta,NA,NA,NA,241,50,3.3,NA,1,0.2,0.8,7.2,1.7,0.9
Lea & Perrins Worcestershire saus,2.09,NA,"Soepen, sauzen, kruiden, olie",Smaakmakers,"Tafelsauzen, toevoegingen",Worcester sauce,NA,NA,96,21,19,NA,0.9,0.4,NA,0.8,NA,2.9
AH Aardappelballetjes,1.89,NA,Diepvries,Diepvries aardappelproducten,Aardappelballetjes,NA,NA,NA,137,21,0.7,NA,4.4,0.5,3.9,2.2,2.2,0.7
Campina Halfvolle yoghurt vanillesmaak,1.79,NA,"Zuivel, eieren, boter",Yoghurt en kwark,Yoghurt,Yoghurt met smaak,Vanille yoghurt,NA,78,12.2,11,NA,1.6,1.1,NA,3.1,NA,0.11
AH Galia meloen,2.49,NA,"Aardappel, groente, fruit",Fruit,"Meloen, kokosnoot",Meloenen,Galia meloen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Koffiefilters no2,0.79,NA,"Koffie, thee",Koffie,Koffieverrijkers,"Koffiefilters, suiker",Koffiefilter en overige,Koffiefilters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Smeerkaas naturel,0.59,NA,Ontbijtgranen en beleg,Hartig broodbeleg,Smeerkaas,NA,NA,NA,255,2.4,2.4,NA,21,13,7.6,14,0,2.5
AH Roomkaas met kruiden,0.85,NA,Ontbijtgranen en beleg,Kaas beleg,Roomkaas,Roomkaas (kruiden),NA,NA,288,4.4,4.2,NA,28,18,7.2,4.6,0.1,1.4
Chiarli 1860 Lambrusco bianco,2.59,NA,Wijn en bubbels,Witte wijn,Overige witte wijn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cave de Beblenheim AOC Alsace riesling,7.29,NA,Wijn en bubbels,Witte wijn,Witte wijn - Fris en droog,Riesling (Fris en droog),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cave de Beblenheim Pinot blanc,5.79,NA,Wijn en bubbels,Witte wijn,Witte wijn - Fris en droog,Pinot Blanc (Fris en droog),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Fruitcocktail siroop,1.79,NA,"Soepen, sauzen, kruiden, olie",Conserven,Fruitconserven,Fruitmix (conserven),NA,NA,49,11,9.8,NA,0.1,0.1,0,0.4,1.4,0.03
AH Amsterdamse uien,0.85,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Augurken, uitjes",Uitjes,NA,39,6.4,6,NA,0.2,0,0.2,1.5,1.5,0.7
Greenminds Schrijfblok A4 gelinieerd,2.59,NA,"Koken, tafelen, vrije tijd",Kantoorartikelen,Papierwaren,"Schriften, notitieboekjes",Blocnotes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Blik brokjes zalm forel,0.79,NA,Huisdier,Katten,Nat kattenvoer,Kattenvoer Singlepack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Blik brokjes wild gevogelte,0.79,NA,Huisdier,Katten,Nat kattenvoer,Kattenvoer Singlepack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Blik brokjes kip kalkoen,0.79,NA,Huisdier,Katten,Nat kattenvoer,Kattenvoer Singlepack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Pate met rund,0.85,NA,Huisdier,Katten,Nat kattenvoer,Kattenvoer Singlepack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Blik pate rund wild,0.99,NA,Huisdier,Honden,Nat hondenvoer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conqueror Tawny port,7.29,NA,Wijn en bubbels,"Port, sherry en vermouth",Port,Rode port,Tawny port,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grolsch Premium pilsner bier 6pack,6.49,NA,Bier en aperitieven,Bier,Pils,Pils - blik,NA,NA,40,2.5,0,NA,0,0,NA,0.5,NA,0
Appelsientje Tomatientje,2.39,NA,"Frisdrank, sappen, siropen, water","Verse sappen, smoothies",Groentesappen,Groentesap & drank (gekoeld),NA,NA,17,2.8,2.8,NA,0,0,NA,0.7,1.09,0.46
Glorix original bleek,1.59,NA,Huishouden,Schoonmaakmiddelen,Bleekmiddel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Vuilnisemmerzakken 35L,2.19,NA,Huishouden,"Huishoudfolies, huishoudzakken",Vuilniszakken,Pedaalemmerzakken,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Servetten 2-laags 33x33 cm wit,1.99,NA,"Koken, tafelen, vrije tijd",Tafelen,Servetten,Reguliere servetten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Tissues zacht & sterk,1.49,NA,Drogisterij,"Tissues, watten",Tissues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Dikke bleek,0.9,NA,Huishouden,Schoonmaakmiddelen,Bleekmiddel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Afwasmiddel citrus,1.19,NA,Huishouden,"Vaatwas, afwasmiddel",Afwasmiddel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Pizzabroodjes salami,1.49,NA,Diepvries,Diepvries pizza,Pizzabroodjes,NA,NA,NA,234,31,3.7,NA,7.5,3.2,4.3,9.4,2.4,1.3
AH Pizza kaas tomaat,1.39,NA,Diepvries,Diepvries pizza,Pizza (dunne bodem),NA,NA,NA,234,29,4.5,NA,8.6,2.7,5.9,9,2.3,1.03
AH Chantilly,3.29,NA,Diepvries,IJs,Roomijs hoorntjes,NA,NA,NA,314,36,25,NA,17,12,3.9,3.9,0.6,0.08
AH Roomijs malaga,3.49,NA,"Zuivel, eieren, boter",Toetjes,Roomijs,Roomschepijs,NA,NA,192,27,26,NA,7.9,5.2,2.5,2.6,0.3,0.13
AH Roomijs stracciatella,2.79,NA,"Zuivel, eieren, boter",Toetjes,Roomijs,Roomschepijs,NA,NA,249,27,25,NA,14,9,3.7,3.1,1.3,0.15
AH Roomijs vanille,2.79,NA,"Zuivel, eieren, boter",Toetjes,Roomijs,Roomschepijs,NA,NA,193,23,23,NA,10,6.6,3.2,2.7,0.1,0.13
AH Aardappelschijfjes,1.95,NA,Diepvries,Diepvries aardappelproducten,Aardappelschijfjes (diepvries),NA,NA,NA,135,21,1.5,NA,4,0.5,3.5,2.5,2.5,0.1
AH Spinazie fijn gesneden,0.85,NA,"Aardappel, groente, fruit",Diepvries groente,Spinazie (diepvries),NA,NA,NA,28,2,0,NA,0.6,0.1,0.5,2,3.5,0.1
AH Aardappelkroketjes,1.49,NA,Diepvries,Diepvries aardappelproducten,Aardappelkroketten (diepvries),NA,NA,NA,152,23,1.1,NA,5.1,0.5,4.6,2.2,2.5,0.8
AH Spinazie à la creme,0.95,NA,"Aardappel, groente, fruit",Diepvries groente,Spinazie (diepvries),NA,NA,NA,44,3.1,1.7,NA,2.2,0.7,1.5,1.8,2.3,0.6
AH Kabeljauw,4.55,NA,"Vlees, vis",Vis,Diepvries vis,Kabeljauw (diepvries),NA,NA,70,0,0,NA,0.7,0.3,0.4,16,0,0.33
AH Vrieslollies,1.19,NA,Diepvries,IJs,Waterijsjes,NA,NA,NA,56,14,14,NA,0,0,0,0,0,0
AH Witte bonen in tomatensaus,0.79,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Witte bonen,NA,NA,85,12,3.4,NA,0.5,0.2,0.3,5.3,5.8,0.6
AH Lekkerbekjes,2.99,NA,"Vlees, vis",Vis,Gepaneerde vis,Gepaneerde vis (diepvries),NA,NA,198,17,0.7,NA,11,1.3,7.8,7.4,0.7,1.4
AH Maiskorrels fris en knapperig,1.19,NA,"Aardappel, groente, fruit",Groente,"Asperges, bleekselderij, venkel, mais",Mais,Maiskorrels (conserven),NA,71,11,5.2,NA,1.4,0.3,1.1,2.1,2.8,0.03
AH Tomaten gepeld,0.69,NA,"Pasta, rijst en wereldkeuken",Mediterrane keuken,Italiaanse keuken,Tomaten producten,Gepelde tomaten,NA,23,3.6,3.1,NA,0.2,0.08,0.2,1.1,1,0.05
AH Witte bonen in tomatensaus,0.69,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Witte bonen,NA,NA,81,13,4.4,NA,0.5,0.1,0.4,4.2,3.9,0.63
AH Appelmoes 0% suiker toegevoegd,1.89,NA,"Soepen, sauzen, kruiden, olie",Conserven,Fruitconserven,"Appelmoes, appelcompote",Appelmoes (in pot),NA,52,12,12,NA,0,0,0,0.3,1.4,0
AH Appelmoes 0% suiker toegevoegd,0.99,NA,"Soepen, sauzen, kruiden, olie",Conserven,Fruitconserven,"Appelmoes, appelcompote",Appelmoes (in pot),NA,52,12,12,NA,0,0,0,0.3,1.4,0
AH Rabarbercompote,1.89,NA,"Aardappel, groente, fruit",Groente,"Asperges, bleekselderij, venkel, mais",Rabarber,NA,NA,54,11,11,NA,0.2,0.02,0.2,0.5,2.9,0
AH Witte bonen,1.15,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Witte bonen,NA,NA,105,14,0.4,NA,0.8,0.1,0.7,6.9,7.1,0
AH Appel-abrikozen compote,1.39,NA,"Soepen, sauzen, kruiden, olie",Conserven,Fruitconserven,"Appelmoes, appelcompote",Appelcompote,NA,63,14,13,NA,0.3,0,0.3,0.4,1.5,0
AH Appelcompote,0.89,NA,"Soepen, sauzen, kruiden, olie",Conserven,Fruitconserven,"Appelmoes, appelcompote",Appelcompote,NA,57,12,11,NA,0.5,0,0.5,0.3,1.6,0
AH Gebroken sperziebonen,1.19,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Sperziebonen,Sperziebonen (conserven),NA,23,2.1,0.5,NA,0.4,0.2,0,1.5,2.7,0
AH Gebroken sperziebonen,0.89,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Sperziebonen,Sperziebonen (conserven),NA,23,2.6,0.7,NA,0.1,0,0.1,1.5,2.8,0.03
AH Tuinbonen,1.25,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Bonen, peulvruchten (conserven)",Tuinbonen (conserven),NA,68,7.9,0.8,NA,0.5,0.1,0.4,5.6,4.6,0.03
AH Kapucijners,2.29,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Bonen, peulvruchten (conserven)",Velderwten (conserven),NA,84,10,0.9,NA,0.7,0.1,0.6,6.5,6,0.03
AH Doperwten en wortelen,0.99,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,Groentemix (conserven),Doperwten/wortelen (conserven),NA,46,5.9,1.2,NA,0.3,0.1,0.2,2.8,4.1,0.13
AH Doperwten,1.15,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Doperwten,Doperwten (conserven),NA,68,6.2,1.5,NA,1,0.2,0.8,5.2,6.7,0
AH Doperwten,1.45,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Doperwten,Doperwten (conserven),NA,64,6.4,1.6,NA,1,0.2,0.8,4.8,4.9,0.03
AH Hollandse bruine bonen,1.45,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Bruine bonen,NA,NA,104,14,0.5,NA,1.1,0.7,0.4,6.2,6.8,0
AH Hollandse bruine bonen,1.09,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Bruine bonen,NA,NA,104,14,0.5,NA,1.1,0.7,0.4,6.2,6.8,0
AH Hollandse bruine bonen,0.85,NA,"Aardappel, groente, fruit",Groente,"Sperziebonen, snijbonen en peulvruchten",Bruine bonen,NA,NA,120,18,0.9,NA,0.7,0.1,0.5,6.5,7.9,0
AH Partjes mandarijn op sap,1.29,NA,"Soepen, sauzen, kruiden, olie",Conserven,Fruitconserven,Mandarijnen (conserven),NA,NA,44,9.6,8.7,NA,0,0,0,0.8,1,0.03
AH Ananasschijven op sap,1.25,NA,"Soepen, sauzen, kruiden, olie",Conserven,Fruitconserven,Ananas (conserven),NA,NA,57,13,13,NA,0.1,0,0,0.3,1.6,0
AH Aardappel salade,1.99,NA,"Salades, pizza, maaltijden",Salades,"Huzarensalades, rundvleessalades en slaatjes",Aardappelsalade,NA,NA,177,15,3.7,NA,12,1,11,1.7,1.3,1.03
AH Mayonaise zacht en romig,1.25,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Mayonaise,Mayonaise (in pot),NA,618,2.8,2.8,NA,67,5.4,60,1,0,0.78
AH Mayonaise zacht en romig,1.49,NA,"Soepen, sauzen, kruiden, olie",Sauzen,"Snacksauzen, mayonaise",Mayonaise,Mayonaise (in pot),NA,618,2.8,2.8,NA,67,5.4,60,1,0,0.78
AH Zonnebloemolie,1.65,NA,"Pasta, rijst en wereldkeuken",Olie en frituurvet,"Olie bakken, braden en wok",Zonnebloemolie,NA,NA,828,0,0,NA,92,10,82,0,0,0
AH Augurken zoetzuur,0.95,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Augurken, uitjes",Augurken,NA,34,6.3,6.3,NA,0.2,0.1,0.1,0.6,0.9,0.7
AH Zilveruitjes zoetzuur,0.79,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Augurken, uitjes",Zilveruitjes,NA,34,5,4.6,NA,0.2,0,0.2,1.5,1.5,0.7
AH Augurken partysticks zoetzuur,1.19,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Augurken, uitjes",Augurken,NA,30,5.4,5.4,NA,0.2,0.1,0.1,0.6,0.9,0.7
AH Augurken klein zoetzuur,0.85,NA,"Soepen, sauzen, kruiden, olie",Conserven,Groenteconserven,"Augurken, uitjes",Augurken,NA,38,8,7,NA,0.2,0.04,0.07,0.7,0.5,0.7
AH Rijkgevulde tomatensoep,1.99,NA,"Soepen, sauzen, kruiden, olie",Conserven,Soepen in blik,Tomatensoep in blik,NA,NA,49,7.6,4.7,NA,1.1,0.4,0.6,1.7,0.8,0.73
AH Kippensoep,1.95,NA,"Soepen, sauzen, kruiden, olie",Conserven,Soepen in blik,Kippensoep in blik,NA,NA,21,2.1,0.2,NA,0.6,0.1,0.4,1.6,0.2,0.8
AH Bonensoep met plakjes rookworst,1.99,NA,"Soepen, sauzen, kruiden, olie",Conserven,Soepen in blik,Bruine bonensoep in blik,NA,NA,82,8.3,0.7,NA,2.6,1,1.6,4.2,4.3,0.8
AH Erwtensoep,1.99,NA,"Soepen, sauzen, kruiden, olie",Conserven,Soepen in blik,Erwtensoep in blik,NA,NA,89,9.2,1.1,NA,3.1,1,2,4.7,2.8,0.75
AH Mix voor pannenkoeken naturel,0.75,NA,"Salades, pizza, maaltijden","Pannenkoeken, poffertjes",Pannenkoekenmix,Pannenkoekenmix (diverse),NA,NA,177,28,3.7,NA,3.3,1.8,1.5,7.9,1.6,0.63
Vaseline Lotion essential repair,6.25,NA,Drogisterij,Lichaamsverzorging,Huidverzorging,Bodylotion en bodymilk,Bodylotion,Bodylotion alle huidtypes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Mienestjes,1.19,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels","Noedels, mie",Mie,NA,NA,351,72,3.5,NA,1.5,0.1,1.4,11,2.5,0.03
AH Witte snelkook rijst,1.29,NA,"Pasta, rijst en wereldkeuken","Pasta, rijst, noedels",Rijst,Witte rijst,NA,NA,354,80,0,NA,1,0.4,0.7,5.8,1.1,0
AH Patent tarwebloem,0.99,NA,"Pasta, rijst en wereldkeuken",Bakbenodigdheden,"Basismeel, bloem",Tarwebloem,NA,NA,343,72,0.7,NA,1,0.1,0.6,10,2.8,0
AH Patent tarwebloem,0.55,NA,"Pasta, rijst en wereldkeuken",Bakbenodigdheden,"Basismeel, bloem",Tarwebloem,NA,NA,343,72,0.7,NA,1,0.1,0.6,10,2.8,0
AH Zelfrijzend bakmeel,0.59,NA,"Pasta, rijst en wereldkeuken",Bakbenodigdheden,"Basismeel, bloem",(Zelfrijzend) bakmeel,NA,NA,340,68,0.6,NA,1.4,0.4,1.1,12,3.7,1.63
AH Paneermeel naturel beschuit,0.59,NA,"Pasta, rijst en wereldkeuken",Bakbenodigdheden,Paneermeel,Paneermeel (naturel),NA,NA,365,71,6,NA,2.7,1.1,1.5,12,4.2,1.68
AH Pepermunt,1.59,NA,"Snoep, chocolade, koek","Pepermunt, keelpastilles",Pepermunt,"Rol, zakje pepermunt",NA,NA,398,99,99,NA,0,0,0,0.5,0,0
Olay Dagcreme double action,9.69,NA,Drogisterij,Gezichtsverzorging,Gezichtscreme,Dagcreme,Dagcreme vrouw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delicata Reep witte chocolade met vanille aroma,1.39,NA,"Snoep, chocolade, koek",Chocolade,Repen en tabletten,Witte chocolade repen,Witte chocolade,NA,549,55,55,NA,33,20,13,8,0,0.28
Delicata Reep melk chocolade,2.49,NA,"Snoep, chocolade, koek",Chocolade,Repen en tabletten,Melkchocolade repen,Melkchocolade,NA,553,51,49,NA,35,21,12,6.9,3.2,0.18
Delicata Reep pure chocolade,2.49,NA,"Snoep, chocolade, koek",Chocolade,Repen en tabletten,Pure chocolade repen,Pure chocolade,NA,543,44,41,NA,36,21,13,6,9.5,0.03
Delicata Reep extra pure chocolade 70%,2.69,NA,"Snoep, chocolade, koek",Chocolade,Repen en tabletten,Pure chocolade repen,Pure chocolade,NA,538,31,26,NA,39,23,14,8.8,14,0.03
Delicata Reep melkchocolade hazelnoot,2.69,NA,"Snoep, chocolade, koek",Chocolade,Repen en tabletten,Melkchocolade repen,Melkchocolade met noten,NA,591,42,38,NA,42,17,23,8.9,4.8,0.13
AH Roomboter karamel stroopwafels,2.39,NA,"Snoep, chocolade, koek",Koek,"Stroopwafel, stroopkoek, wafels",Stroopwafels,NA,NA,456,62,34,NA,21,14,7,3.5,2.5,0.7
AH Lange vingers,1.29,NA,"Snoep, chocolade, koek",Koek,Lange vingers,NA,NA,NA,394,84,52,NA,2.9,0.6,1.4,7.3,1.1,0.1
AH Biscuits volkoren met tarwebloem,0.85,NA,"Snoep, chocolade, koek",Koek,Biscuits,Theebiscuits,NA,NA,460,68,18,NA,16,1.3,14,8.4,5.4,0.6
AH Kletskoppen met stukjes pinda,1.29,NA,"Snoep, chocolade, koek",Koek,Koffiekoekjes,NA,NA,NA,522,55,37,NA,28,7.9,20,11,3,0.4
AH Amandelspeculaas,1.99,NA,"Snoep, chocolade, koek",Koek,Speculaas,NA,NA,NA,502,66,28,NA,23,9,14,6.5,2.5,0.9
AH Roomboter kletsmajoors,2.39,NA,"Snoep, chocolade, koek",Koek,Koffiekoekjes,NA,NA,NA,517,65,35,NA,26,17,8.5,5,1.4,0.43
AH Trio zoutjes sesam- & maanzaad,0.95,NA,"Chips, noten, toast, popcorn",Zoutjes,Zoutjes-crackers,NA,NA,NA,473,62,6.1,NA,20,10,10,10,2.3,1.98
AH Halfvolle koffiemelk,0.95,NA,"Zuivel, eieren, boter","Koffiemelk, koffieroom, koffiecreamers",Koffiemelk,NA,NA,NA,116,12,12,NA,4.3,3,1.3,7.3,0,0.25
AH Koffieroom,1.09,NA,"Zuivel, eieren, boter","Koffiemelk, koffieroom, koffiecreamers",Koffieroom,NA,NA,NA,207,3.7,3.7,NA,20,13,7.1,3.1,0,0.23
AH Koffiecreamer,1.65,NA,"Zuivel, eieren, boter","Koffiemelk, koffieroom, koffiecreamers",Koffiecreamer,NA,NA,NA,10,1,0.2,NA,0.6,0.5,0,0.2,0,0.03
AH Halfvolle koffiemelk,1.85,NA,"Zuivel, eieren, boter","Koffiemelk, koffieroom, koffiecreamers",Koffiemelk,NA,NA,NA,116,12,12,NA,4.3,3,NA,7.3,0,0.25
AH Halfvolle koffiemelk,0.99,NA,"Zuivel, eieren, boter","Koffiemelk, koffieroom, koffiecreamers",Koffiemelk,NA,NA,NA,120,13,13,NA,4.3,3.1,NA,7.3,0,0.3
AH Volle koffiemelk,0.99,NA,"Zuivel, eieren, boter","Koffiemelk, koffieroom, koffiecreamers",Koffiemelk,NA,NA,NA,165,14,14,NA,8.5,6.2,NA,8.1,0,0.35
AH Bladerdeeg,0.99,NA,Diepvries,"Diepvries gebak, brood, bladerdeeg",Bladerdeeg (diepvries),NA,NA,NA,346,37,2,NA,19,9.2,9.4,5.8,1.8,1.25
Koopmans Bladerdeeg roomboter,2.69,NA,Diepvries,"Diepvries gebak, brood, bladerdeeg",Bladerdeeg (diepvries),NA,NA,NA,375,37,0.6,NA,23,16,NA,5.2,NA,0.93
AH Rundvlees bitterballen,1.79,NA,Diepvries,Diepvries snacks,Frituur snacks,Bitterballen (frituur),NA,NA,200,23,1.1,NA,8.4,3.5,4.6,7.8,0.6,1.15
Unicura Ultra antibacterieel handzeep,2.99,NA,Drogisterij,Lichaamsverzorging,Handverzorging,Handzeep,Vloeibare zeep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vicks Blue menthol keelpastilles suikervrij,2.19,NA,"Snoep, chocolade, koek","Pepermunt, keelpastilles",Keelpastilles,NA,NA,NA,233,97,0,NA,0,0,NA,0,NA,0
Côte d'Or Chokotoff,3.75,NA,"Snoep, chocolade, koek",Chocolade,Bonbons en pralines,NA,NA,NA,458,68,50,NA,19,12,NA,2.4,3.1,0.19
Milka Chocoladereep alpenmelk,0.89,NA,"Snoep, chocolade, koek",Chocolade,Repen en tabletten,Melkchocolade repen,Melkchocolade,NA,539,57,55,NA,31,19,NA,6.5,2.3,0.28
Jerez Sherry 887 medium,7.29,NA,Wijn en bubbels,"Port, sherry en vermouth",Sherry,Half zoete sherry,Spaanse sherry (half zoet),NA,105,4.5,4.5,NA,0,0,0,0,0,NA
Conqueror Port white,7.29,NA,Wijn en bubbels,"Port, sherry en vermouth",Port,Witte port,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conqueror Ruby port,7.29,NA,Wijn en bubbels,"Port, sherry en vermouth",Port,Rode port,Ruby port,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH Engelse melange meerkops,0.49,NA,"Koffie, thee",Thee,Zwarte thee,Zwarte thee meerkops,NA,NA,1,0.2,0,NA,0,0,0,0,0,0
AH Engelse melange meerkops,0.95,NA,"Koffie, thee",Thee,Zwarte thee,Zwarte thee meerkops,NA,NA,1,0.2,0,NA,0,0,0,0,0,0
AH Earl grey thee meerkops,0.59,NA,"Koffie, thee",Thee,Zwarte thee,Zwarte thee meerkops,NA,NA,1,0.2,0,NA,0,0,0,0,0,0
Perla Huisblends Decaf snelfiltermaling,3.99,NA,"Koffie, thee",Koffie,Snelfilterkoffie,Snelfilterkoffie (cafeïnevrij),NA,NA,1,0.1,0,NA,0,0,0,0.2,0,0
Perla Huisblends Aroma snelfiltermaling,6.99,NA,"Koffie, thee",Koffie,Snelfilterkoffie,Snelfilterkoffie (regular),NA,NA,1,0.1,0,NA,0,0,0,0.2,0,0
Perla Huisblends Aroma snelfiltermaling,3.79,NA,"Koffie, thee",Koffie,Snelfilterkoffie,Snelfilterkoffie (regular),NA,NA,1,0.1,0,NA,0,0,0,0.2,0,0
AH Slagroom,1.59,NA,"Zuivel, eieren, boter","Creme fraiche, slagroom, kookroom, kokosmelk",Slagroom,NA,NA,NA,304,11,11,NA,28,20,7.5,2,0,0
AH Chocoladevla,1.69,NA,"Zuivel, eieren, boter",Vla en pap,Vla,Chocolade vla,NA,NA,96,14,10,NA,3.2,2.1,1,2.6,0.6,0.18
Campina Dubbelvla chocolade vanille,2.29,NA,"Zuivel, eieren, boter",Vla en pap,Vla,Dubbelvla,NA,NA,95,14.2,10.3,NA,2.9,2,NA,2.9,NA,0.11
De Zaanse Hoeve Karnemelk,0.99,NA,"Zuivel, eieren, boter",Melk,Karnemelk,NA,NA,NA,29,2.9,2.9,NA,0.5,0.3,0.2,3.1,0,0.1
AH Slagroom,0.99,NA,"Zuivel, eieren, boter","Creme fraiche, slagroom, kookroom, kokosmelk",Slagroom,NA,NA,NA,337,3,3,NA,35,24,NA,2.5,0,0.1
AH Halfvolle biogarde stand,1.39,NA,"Zuivel, eieren, boter",Yoghurt en kwark,Yoghurt,Yoghurt naturel,Halfvolle yoghurt,NA,47,4.7,4.7,NA,1.4,0.9,0.5,4,0,0.13
AH Volle biogarde roer,1.39,NA,"Zuivel, eieren, boter",Yoghurt en kwark,Yoghurt,Yoghurt naturel,Halfvolle yoghurt,NA,67,4.8,4.8,NA,3.5,2.4,1.1,4,0,0.15
AH Biogarde magere kwark,1.75,NA,"Zuivel, eieren, boter",Yoghurt en kwark,Kwark,Magere kwark,NA,NA,47,3,3,NA,0.1,0.07,0.03,8.5,0,0.08
AH Blanke vla,1.39,NA,"Zuivel, eieren, boter",Vla en pap,Vla,Blanke vla,NA,NA,86,13,9,NA,2.8,1.9,0.9,2.2,0,0.18
AH Magere melk,1.09,NA,"Zuivel, eieren, boter",Melk,Magere melk,NA,NA,NA,34,4.7,4.7,NA,0,0,0,3.7,0,0.13
AH Volle yoghurt,1.49,NA,"Zuivel, eieren, boter",Yoghurt en kwark,Yoghurt,Yoghurt naturel,Volle yoghurt,NA,63,4.5,4.5,NA,3,2,1,4.5,0,0.1
AH Scharreleieren M,2.49,NA,"Zuivel, eieren, boter",Eieren,Scharreleieren,NA,NA,NA,131,0.2,0.2,NA,9.1,3,4.5,12,0,0.38
AH Volle melk,1.29,NA,"Zuivel, eieren, boter",Melk,Volle melk,NA,NA,NA,65,4.6,4.6,NA,3.6,2.4,1.2,3.5,0,0.13
AH Halfvolle melk,1.19,NA,"Zuivel, eieren, boter",Melk,Halfvolle melk,NA,NA,NA,47,4.7,4.7,NA,1.5,1.1,0.4,3.6,0,0.13
AH Frituurvet,4.79,NA,"Pasta, rijst en wereldkeuken",Olie en frituurvet,"Frituurvet, frituurolie",NA,NA,NA,900,0,0,NA,100,54,45,0,0,0
AH Verse scharreleieren L,4.09,NA,"Zuivel, eieren, boter",Eieren,Scharreleieren,NA,NA,NA,131,0.2,0.2,NA,9.1,3,4.5,12,0,0.38
AH Roomboter ongezouten,1.75,NA,"Zuivel, eieren, boter",Boter en margarine,Boter en margarine voor de keuken,Ongezouten roomboter,NA,NA,743,0.6,0.6,NA,82,50,32,0.7,0,0
AH Soepballetjes,0.75,NA,"Soepen, sauzen, kruiden, olie",Conserven,Vleesconserven,Soepballetjes (conserven),NA,NA,156,1.7,0.1,NA,13,4.9,8.2,8.1,0.1,1.58
AH Leverpastei,1.19,NA,"Soepen, sauzen, kruiden, olie",Conserven,Vleesconserven,"Smeerpastei, smac",NA,NA,308,1.7,0.1,NA,29,11,NA,10,0.1,1.8
AH Cocktailworstjes,2.29,NA,"Soepen, sauzen, kruiden, olie",Conserven,Vleesconserven,Cocktailworstjes,NA,NA,183,3,0.5,NA,13,5.5,7.2,13,1.1,1.68
AH Varkens knakworst,1.35,NA,"Soepen, sauzen, kruiden, olie",Conserven,Vleesconserven,Knakworst,NA,NA,169,2.8,0.5,NA,12,5,6.7,12,1,1.73
AH Kalfsragout,1.59,NA,"Vlees, vis","Rookworst, ragout",Ragout,NA,NA,NA,83,7.2,0.5,NA,4.3,0.5,3.8,3.5,0.4,0.98
